08-19 23:07:25.659   640 21621 I mtkpower_client: perf_lock_rel, hdl:141859, tid:21621
08-19 23:07:25.780   640 21628 I mtkpower_client: perf_lock_rel, hdl:141861, tid:21628
08-19 23:07:26.129   640 21627 I mtkpower_client: perf_lock_rel, hdl:141860, tid:21627
08-19 23:10:11.339   608   681 I libPowerHal: [perfLockAcq] idx:1 hdl:142162 hint:1157 pid:640 duration:80 => ret_hdl:142162
08-19 23:10:11.339   608   681 I libPowerHal: [PE] scn:1 hdl:142162 hint:1157 comm:vperf@1.0-servi pid:640
08-19 23:10:11.420   608   681 I mtkpower@impl: [powerd_req] TIMER_MSG_PERF_LOCK_TIMEOUT hdl:142162
08-19 23:10:11.420   608   681 I libPowerHal: [perfLockRel] hdl:142162, idx:1
08-19 23:10:11.420   608   681 I libPowerHal: [PD] scn:1 hdl:142162 hint:1157 comm:vperf@1.0-servi pid:640
08-19 23:10:11.440   640 22665 I mtkpower_client: perf_lock_rel, hdl:142162, tid:22665
08-19 23:10:11.441   608   681 I libPowerHal: [perfLockRel] hdl:142162, idx:-1
08-20 01:11:00.080  2162  2162 E .gms.persisten: Not starting debugger since process cannot load the jdwp agent.
08-20 01:11:01.257  2162  2401 E ActivityThread: Failed to find provider info for instantapp-dev-manager
08-20 01:11:02.812  2162  2162 E NanoAppLogging: Failed to begin contexthub communication
08-20 01:11:02.886  2162  2766 E _V_SensorManager: unregisterListenerImpl listener=com.google.android.location.fused.StepDetector@c241d8sensor=NULL num: 0
08-20 01:11:02.892  2162  2766 E inertial-anchor: Called Stop() before session has started.
08-20 01:11:05.809  2162  2199 I .gms.persisten: Background concurrent copying GC freed 192201(6315KB) AllocSpace objects, 26(840KB) LOS objects, 34% free, 11MB/17MB, paused 231us total 159.506ms
08-20 01:11:07.160  2162  2750 D CompatibilityChangeReporter: Compat change id reported: 148180766; UID 10168; state: ENABLED
08-20 01:11:16.077  2162  2199 I .gms.persisten: Background concurrent copying GC freed 51339(2357KB) AllocSpace objects, 131(5464KB) LOS objects, 41% free, 8754KB/14MB, paused 353us total 152.233ms
08-20 01:11:19.094  2162  2162 D BoundBrokerSvc: onUnbind: Intent { act=com.google.android.gms.scheduler.ACTION_PROXY_SCHEDULE dat=chimera-action:com.google.android.gms.scheduler.ACTION_PROXY_SCHEDULE cmp=com.google.android.gms/.chimera.PersistentApiService }
08-20 01:11:19.196  2162  2162 D BoundBrokerSvc: onUnbind: Intent { act=com.google.android.gms.clearcut.bootcount.service.START dat=chimera-action:com.google.android.gms.clearcut.bootcount.service.START cmp=com.google.android.gms/.chimera.PersistentBoundBrokerService }
08-20 01:11:19.207  2162  2162 D BoundBrokerSvc: onUnbind: Intent { act=com.google.android.gms.trustagent.BridgeApi.START pkg=com.google.android.gms }
